#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+---------------------------------------------------------------------------------+--------------------+--------------------+
| run:fill    | time              | ncms | hltpath                                                                         | delivered(/ub)     | recorded(/ub)      |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon0_Upsilon_L1_4p5er2p0_v8                                              | 704042.107434855   | 662707.952647234   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon0_Upsilon_Muon_NoL1Mass_v5                                            | 1024061.247177971  | 963938.840214158   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon0_Upsilon_NoVertexing_v6                                              | 312907.603304380   | 294536.867843215   |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon12_Upsilon_y1p4_v1                                                    | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon14_Phi_Barrel_Seagulls_v6                                             | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon18_PsiPrime_noCorrL1_v5                                               | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon18_PsiPrime_v13                                                       | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon24_Phi_noCorrL1_v5                                                    | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon24_Upsilon_noCorrL1_v5                                                | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon25_Jpsi_noCorrL1_v5                                                   | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Dimuon25_Jpsi_v13                                                           | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_NoPixelVeto_Mass55_v13     | 1760105.268587138  | 1656769.881618086  |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_PixelVeto_Mass55_v14       | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_NoPixelVeto_Mass55_v1              | 56323368.594788425 | 53016636.211778745 |
| 316187:6674 | 05/12/18 03:18:33 | 151  | HLT_Diphoton30_18_R9IdL_AND_HE_AND_IsoCaloId_NoPixelVeto_v1                     | 56323368.594788425 | 53016636.211778745 |
