#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+-------------------------------------------+------------------+------------------+
| run:fill    | time              | ncms | hltpath                                   | delivered(/ub)   | recorded(/ub)    |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_FullTrack_Multiplicity85_v3           | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_FullTrack_Multiplicity85_v3           | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_FullTrack_Multiplicity85_v3           | 20318.730612478  | 20135.477505823  |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_HISinglePhoton10_Eta3p1ForPPRef_v6    | 4976.510427706   | 4927.874343484   |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_HISinglePhoton10_Eta3p1ForPPRef_v6    | 1241.565511323   | 1229.107862949   |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_HISinglePhoton10_Eta3p1ForPPRef_v6    | 529.303000853    | 524.807840415    |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_HISinglePhoton10_Eta3p1ForPPRef_v6    | 1195.219447793   | 1184.439853284   |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_HISinglePhoton10_Eta3p1ForPPRef_v6    | 757.189277226    | 697.060004470    |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_HISinglePhoton20_Eta3p1ForPPRef_v6    | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_HISinglePhoton20_Eta3p1ForPPRef_v6    | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_HISinglePhoton20_Eta3p1ForPPRef_v6    | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_HISinglePhoton20_Eta3p1ForPPRef_v6    | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_HISinglePhoton20_Eta3p1ForPPRef_v6    | 33648.398807690  | 30965.793390425  |
| 299996:6012 | 07/27/17 12:14:28 | 1259 | HLT_HISinglePhoton30_Eta3p1ForPPRef_v6    | 55245.783918416  | 54688.267787764  |
| 300018:6016 | 07/28/17 05:39:11 | 279  | HLT_HISinglePhoton30_Eta3p1ForPPRef_v6    | 17740.214379379  | 17555.830667304  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_HISinglePhoton30_Eta3p1ForPPRef_v6    | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_HISinglePhoton30_Eta3p1ForPPRef_v6    | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_HISinglePhoton30_Eta3p1ForPPRef_v6    | 37141.901845235  | 34217.399878590  |
